"sentence","left_image","right_image"
"Big vs small","../bp_images/p0002/0.png","../bp_images/p0002/6.png"
"Big vs small","../bp_images/p0002/1.png","../bp_images/p0002/6.png"
"Big vs small","../bp_images/p0002/2.png","../bp_images/p0002/6.png"
"Big vs small","../bp_images/p0002/3.png","../bp_images/p0002/6.png"
"Big vs small","../bp_images/p0002/4.png","../bp_images/p0002/6.png"
"Big vs small","../bp_images/p0002/5.png","../bp_images/p0002/6.png"
"Big vs small","../bp_images/p0002/0.png","../bp_images/p0002/7.png"
"Big vs small","../bp_images/p0002/1.png","../bp_images/p0002/7.png"
"Big vs small","../bp_images/p0002/2.png","../bp_images/p0002/7.png"
"Big vs small","../bp_images/p0002/3.png","../bp_images/p0002/7.png"
"Big vs small","../bp_images/p0002/4.png","../bp_images/p0002/7.png"
"Big vs small","../bp_images/p0002/5.png","../bp_images/p0002/7.png"
"Big vs small","../bp_images/p0002/0.png","../bp_images/p0002/8.png"
"Big vs small","../bp_images/p0002/1.png","../bp_images/p0002/8.png"
"Big vs small","../bp_images/p0002/2.png","../bp_images/p0002/8.png"
"Big vs small","../bp_images/p0002/3.png","../bp_images/p0002/8.png"
"Big vs small","../bp_images/p0002/4.png","../bp_images/p0002/8.png"
"Big vs small","../bp_images/p0002/5.png","../bp_images/p0002/8.png"
"Big vs small","../bp_images/p0002/0.png","../bp_images/p0002/9.png"
"Big vs small","../bp_images/p0002/1.png","../bp_images/p0002/9.png"
"Big vs small","../bp_images/p0002/2.png","../bp_images/p0002/9.png"
"Big vs small","../bp_images/p0002/3.png","../bp_images/p0002/9.png"
"Big vs small","../bp_images/p0002/4.png","../bp_images/p0002/9.png"
"Big vs small","../bp_images/p0002/5.png","../bp_images/p0002/9.png"
"Big vs small","../bp_images/p0002/0.png","../bp_images/p0002/10.png"
"Big vs small","../bp_images/p0002/1.png","../bp_images/p0002/10.png"
"Big vs small","../bp_images/p0002/2.png","../bp_images/p0002/10.png"
"Big vs small","../bp_images/p0002/3.png","../bp_images/p0002/10.png"
"Big vs small","../bp_images/p0002/4.png","../bp_images/p0002/10.png"
"Big vs small","../bp_images/p0002/5.png","../bp_images/p0002/10.png"
"Big vs small","../bp_images/p0002/0.png","../bp_images/p0002/11.png"
"Big vs small","../bp_images/p0002/1.png","../bp_images/p0002/11.png"
"Big vs small","../bp_images/p0002/2.png","../bp_images/p0002/11.png"
"Big vs small","../bp_images/p0002/3.png","../bp_images/p0002/11.png"
"Big vs small","../bp_images/p0002/4.png","../bp_images/p0002/11.png"
"Big vs small","../bp_images/p0002/5.png","../bp_images/p0002/11.png"
"Hollow outline vs filled in solid","../bp_images/p0003/0.png","../bp_images/p0003/6.png"
"Hollow outline vs filled in solid","../bp_images/p0003/1.png","../bp_images/p0003/6.png"
"Hollow outline vs filled in solid","../bp_images/p0003/2.png","../bp_images/p0003/6.png"
"Hollow outline vs filled in solid","../bp_images/p0003/3.png","../bp_images/p0003/6.png"
"Hollow outline vs filled in solid","../bp_images/p0003/4.png","../bp_images/p0003/6.png"
"Hollow outline vs filled in solid","../bp_images/p0003/5.png","../bp_images/p0003/6.png"
"Hollow outline vs filled in solid","../bp_images/p0003/0.png","../bp_images/p0003/7.png"
"Hollow outline vs filled in solid","../bp_images/p0003/1.png","../bp_images/p0003/7.png"
"Hollow outline vs filled in solid","../bp_images/p0003/2.png","../bp_images/p0003/7.png"
"Hollow outline vs filled in solid","../bp_images/p0003/3.png","../bp_images/p0003/7.png"
"Hollow outline vs filled in solid","../bp_images/p0003/4.png","../bp_images/p0003/7.png"
"Hollow outline vs filled in solid","../bp_images/p0003/5.png","../bp_images/p0003/7.png"
"Hollow outline vs filled in solid","../bp_images/p0003/0.png","../bp_images/p0003/8.png"
"Hollow outline vs filled in solid","../bp_images/p0003/1.png","../bp_images/p0003/8.png"
"Hollow outline vs filled in solid","../bp_images/p0003/2.png","../bp_images/p0003/8.png"
"Hollow outline vs filled in solid","../bp_images/p0003/3.png","../bp_images/p0003/8.png"
"Hollow outline vs filled in solid","../bp_images/p0003/4.png","../bp_images/p0003/8.png"
"Hollow outline vs filled in solid","../bp_images/p0003/5.png","../bp_images/p0003/8.png"
"Hollow outline vs filled in solid","../bp_images/p0003/0.png","../bp_images/p0003/9.png"
"Hollow outline vs filled in solid","../bp_images/p0003/1.png","../bp_images/p0003/9.png"
