"sentence","left_image","right_image"
"LEFT(EXISTS(BIG(FIGURES)))","../bp_images/p002/0.png","../bp_images/p002/6.png"
"LEFT(EXISTS(BIG(FIGURES)))","../bp_images/p002/1.png","../bp_images/p002/6.png"
"LEFT(EXISTS(BIG(FIGURES)))","../bp_images/p002/2.png","../bp_images/p002/6.png"
"LEFT(EXISTS(BIG(FIGURES)))","../bp_images/p002/3.png","../bp_images/p002/6.png"
"LEFT(EXISTS(BIG(FIGURES)))","../bp_images/p002/4.png","../bp_images/p002/6.png"
"LEFT(EXISTS(BIG(FIGURES)))","../bp_images/p002/5.png","../bp_images/p002/6.png"
"LEFT(EXISTS(BIG(FIGURES)))","../bp_images/p002/0.png","../bp_images/p002/7.png"
"LEFT(EXISTS(BIG(FIGURES)))","../bp_images/p002/1.png","../bp_images/p002/7.png"
"LEFT(EXISTS(BIG(FIGURES)))","../bp_images/p002/2.png","../bp_images/p002/7.png"
"LEFT(EXISTS(BIG(FIGURES)))","../bp_images/p002/3.png","../bp_images/p002/7.png"
"LEFT(EXISTS(BIG(FIGURES)))","../bp_images/p002/4.png","../bp_images/p002/7.png"
"LEFT(EXISTS(BIG(FIGURES)))","../bp_images/p002/5.png","../bp_images/p002/7.png"
"LEFT(EXISTS(BIG(FIGURES)))","../bp_images/p002/0.png","../bp_images/p002/8.png"
"LEFT(EXISTS(BIG(FIGURES)))","../bp_images/p002/1.png","../bp_images/p002/8.png"
"LEFT(EXISTS(BIG(FIGURES)))","../bp_images/p002/2.png","../bp_images/p002/8.png"
"LEFT(EXISTS(BIG(FIGURES)))","../bp_images/p002/3.png","../bp_images/p002/8.png"
"LEFT(EXISTS(BIG(FIGURES)))","../bp_images/p002/4.png","../bp_images/p002/8.png"
"LEFT(EXISTS(BIG(FIGURES)))","../bp_images/p002/5.png","../bp_images/p002/8.png"
"LEFT(EXISTS(BIG(FIGURES)))","../bp_images/p002/0.png","../bp_images/p002/9.png"
"LEFT(EXISTS(BIG(FIGURES)))","../bp_images/p002/1.png","../bp_images/p002/9.png"
"LEFT(EXISTS(BIG(FIGURES)))","../bp_images/p002/2.png","../bp_images/p002/9.png"
"LEFT(EXISTS(BIG(FIGURES)))","../bp_images/p002/3.png","../bp_images/p002/9.png"
"LEFT(EXISTS(BIG(FIGURES)))","../bp_images/p002/4.png","../bp_images/p002/9.png"
"LEFT(EXISTS(BIG(FIGURES)))","../bp_images/p002/5.png","../bp_images/p002/9.png"
"LEFT(EXISTS(BIG(FIGURES)))","../bp_images/p002/0.png","../bp_images/p002/10.png"
"LEFT(EXISTS(BIG(FIGURES)))","../bp_images/p002/1.png","../bp_images/p002/10.png"
"LEFT(EXISTS(BIG(FIGURES)))","../bp_images/p002/2.png","../bp_images/p002/10.png"
"LEFT(EXISTS(BIG(FIGURES)))","../bp_images/p002/3.png","../bp_images/p002/10.png"
"LEFT(EXISTS(BIG(FIGURES)))","../bp_images/p002/4.png","../bp_images/p002/10.png"
"LEFT(EXISTS(BIG(FIGURES)))","../bp_images/p002/5.png","../bp_images/p002/10.png"
"LEFT(EXISTS(BIG(FIGURES)))","../bp_images/p002/0.png","../bp_images/p002/11.png"
"LEFT(EXISTS(BIG(FIGURES)))","../bp_images/p002/1.png","../bp_images/p002/11.png"
"LEFT(EXISTS(BIG(FIGURES)))","../bp_images/p002/2.png","../bp_images/p002/11.png"
"LEFT(EXISTS(BIG(FIGURES)))","../bp_images/p002/3.png","../bp_images/p002/11.png"
"LEFT(EXISTS(BIG(FIGURES)))","../bp_images/p002/4.png","../bp_images/p002/11.png"
"LEFT(EXISTS(BIG(FIGURES)))","../bp_images/p002/5.png","../bp_images/p002/11.png"
"LEFT(EXISTS(HIGH(FIGURES,SIZE)))","../bp_images/p002/0.png","../bp_images/p002/6.png"
"LEFT(EXISTS(HIGH(FIGURES,SIZE)))","../bp_images/p002/1.png","../bp_images/p002/6.png"
"LEFT(EXISTS(HIGH(FIGURES,SIZE)))","../bp_images/p002/2.png","../bp_images/p002/6.png"
"LEFT(EXISTS(HIGH(FIGURES,SIZE)))","../bp_images/p002/3.png","../bp_images/p002/6.png"
"LEFT(EXISTS(HIGH(FIGURES,SIZE)))","../bp_images/p002/4.png","../bp_images/p002/6.png"
"LEFT(EXISTS(HIGH(FIGURES,SIZE)))","../bp_images/p002/5.png","../bp_images/p002/6.png"
"LEFT(EXISTS(HIGH(FIGURES,SIZE)))","../bp_images/p002/0.png","../bp_images/p002/7.png"
"LEFT(EXISTS(HIGH(FIGURES,SIZE)))","../bp_images/p002/1.png","../bp_images/p002/7.png"
"LEFT(EXISTS(HIGH(FIGURES,SIZE)))","../bp_images/p002/2.png","../bp_images/p002/7.png"
"LEFT(EXISTS(HIGH(FIGURES,SIZE)))","../bp_images/p002/3.png","../bp_images/p002/7.png"
"LEFT(EXISTS(HIGH(FIGURES,SIZE)))","../bp_images/p002/4.png","../bp_images/p002/7.png"
"LEFT(EXISTS(HIGH(FIGURES,SIZE)))","../bp_images/p002/5.png","../bp_images/p002/7.png"
"LEFT(EXISTS(HIGH(FIGURES,SIZE)))","../bp_images/p002/0.png","../bp_images/p002/8.png"
"LEFT(EXISTS(HIGH(FIGURES,SIZE)))","../bp_images/p002/1.png","../bp_images/p002/8.png"
"LEFT(EXISTS(HIGH(FIGURES,SIZE)))","../bp_images/p002/2.png","../bp_images/p002/8.png"
"LEFT(EXISTS(HIGH(FIGURES,SIZE)))","../bp_images/p002/3.png","../bp_images/p002/8.png"
"LEFT(EXISTS(HIGH(FIGURES,SIZE)))","../bp_images/p002/4.png","../bp_images/p002/8.png"
"LEFT(EXISTS(HIGH(FIGURES,SIZE)))","../bp_images/p002/5.png","../bp_images/p002/8.png"
"LEFT(EXISTS(HIGH(FIGURES,SIZE)))","../bp_images/p002/0.png","../bp_images/p002/9.png"
"LEFT(EXISTS(HIGH(FIGURES,SIZE)))","../bp_images/p002/1.png","../bp_images/p002/9.png"
"LEFT(EXISTS(HIGH(FIGURES,SIZE)))","../bp_images/p002/2.png","../bp_images/p002/9.png"
"LEFT(EXISTS(HIGH(FIGURES,SIZE)))","../bp_images/p002/3.png","../bp_images/p002/9.png"
"LEFT(EXISTS(HIGH(FIGURES,SIZE)))","../bp_images/p002/4.png","../bp_images/p002/9.png"
"LEFT(EXISTS(HIGH(FIGURES,SIZE)))","../bp_images/p002/5.png","../bp_images/p002/9.png"
"LEFT(EXISTS(HIGH(FIGURES,SIZE)))","../bp_images/p002/0.png","../bp_images/p002/10.png"
"LEFT(EXISTS(HIGH(FIGURES,SIZE)))","../bp_images/p002/1.png","../bp_images/p002/10.png"
"LEFT(EXISTS(HIGH(FIGURES,SIZE)))","../bp_images/p002/2.png","../bp_images/p002/10.png"
"LEFT(EXISTS(HIGH(FIGURES,SIZE)))","../bp_images/p002/3.png","../bp_images/p002/10.png"
"LEFT(EXISTS(HIGH(FIGURES,SIZE)))","../bp_images/p002/4.png","../bp_images/p002/10.png"
"LEFT(EXISTS(HIGH(FIGURES,SIZE)))","../bp_images/p002/5.png","../bp_images/p002/10.png"
"LEFT(EXISTS(HIGH(FIGURES,SIZE)))","../bp_images/p002/0.png","../bp_images/p002/11.png"
"LEFT(EXISTS(HIGH(FIGURES,SIZE)))","../bp_images/p002/1.png","../bp_images/p002/11.png"
"LEFT(EXISTS(HIGH(FIGURES,SIZE)))","../bp_images/p002/2.png","../bp_images/p002/11.png"
"LEFT(EXISTS(HIGH(FIGURES,SIZE)))","../bp_images/p002/3.png","../bp_images/p002/11.png"
"LEFT(EXISTS(HIGH(FIGURES,SIZE)))","../bp_images/p002/4.png","../bp_images/p002/11.png"
"LEFT(EXISTS(HIGH(FIGURES,SIZE)))","../bp_images/p002/5.png","../bp_images/p002/11.png"
"LEFT(EXACTLY(1,BIG(FIGURES)))","../bp_images/p002/0.png","../bp_images/p002/6.png"
"LEFT(EXACTLY(1,BIG(FIGURES)))","../bp_images/p002/1.png","../bp_images/p002/6.png"
"LEFT(EXACTLY(1,BIG(FIGURES)))","../bp_images/p002/2.png","../bp_images/p002/6.png"
"LEFT(EXACTLY(1,BIG(FIGURES)))","../bp_images/p002/3.png","../bp_images/p002/6.png"
"LEFT(EXACTLY(1,BIG(FIGURES)))","../bp_images/p002/4.png","../bp_images/p002/6.png"
"LEFT(EXACTLY(1,BIG(FIGURES)))","../bp_images/p002/5.png","../bp_images/p002/6.png"
"LEFT(EXACTLY(1,BIG(FIGURES)))","../bp_images/p002/0.png","../bp_images/p002/7.png"
"LEFT(EXACTLY(1,BIG(FIGURES)))","../bp_images/p002/1.png","../bp_images/p002/7.png"
"LEFT(EXACTLY(1,BIG(FIGURES)))","../bp_images/p002/2.png","../bp_images/p002/7.png"
"LEFT(EXACTLY(1,BIG(FIGURES)))","../bp_images/p002/3.png","../bp_images/p002/7.png"
"LEFT(EXACTLY(1,BIG(FIGURES)))","../bp_images/p002/4.png","../bp_images/p002/7.png"
"LEFT(EXACTLY(1,BIG(FIGURES)))","../bp_images/p002/5.png","../bp_images/p002/7.png"
"LEFT(EXACTLY(1,BIG(FIGURES)))","../bp_images/p002/0.png","../bp_images/p002/8.png"
"LEFT(EXACTLY(1,BIG(FIGURES)))","../bp_images/p002/1.png","../bp_images/p002/8.png"
"LEFT(EXACTLY(1,BIG(FIGURES)))","../bp_images/p002/2.png","../bp_images/p002/8.png"
"LEFT(EXACTLY(1,BIG(FIGURES)))","../bp_images/p002/3.png","../bp_images/p002/8.png"
"LEFT(EXACTLY(1,BIG(FIGURES)))","../bp_images/p002/4.png","../bp_images/p002/8.png"
"LEFT(EXACTLY(1,BIG(FIGURES)))","../bp_images/p002/5.png","../bp_images/p002/8.png"
"LEFT(EXACTLY(1,BIG(FIGURES)))","../bp_images/p002/0.png","../bp_images/p002/9.png"
"LEFT(EXACTLY(1,BIG(FIGURES)))","../bp_images/p002/1.png","../bp_images/p002/9.png"
"LEFT(EXACTLY(1,BIG(FIGURES)))","../bp_images/p002/2.png","../bp_images/p002/9.png"
