"sentence","left_image","right_image"
"BP1","../bp_images/p0001/0.png","../bp_images/p0001/6.png"
"BP1","../bp_images/p0001/1.png","../bp_images/p0001/6.png"
"BP1","../bp_images/p0001/2.png","../bp_images/p0001/6.png"
"BP1","../bp_images/p0001/3.png","../bp_images/p0001/6.png"
"BP1","../bp_images/p0001/4.png","../bp_images/p0001/6.png"
"BP1","../bp_images/p0001/5.png","../bp_images/p0001/6.png"
"BP1","../bp_images/p0001/0.png","../bp_images/p0001/7.png"
"BP1","../bp_images/p0001/1.png","../bp_images/p0001/7.png"
"BP1","../bp_images/p0001/2.png","../bp_images/p0001/7.png"
"BP1","../bp_images/p0001/3.png","../bp_images/p0001/7.png"
"BP1","../bp_images/p0001/4.png","../bp_images/p0001/7.png"
"BP1","../bp_images/p0001/5.png","../bp_images/p0001/7.png"
"BP1","../bp_images/p0001/0.png","../bp_images/p0001/8.png"
"BP1","../bp_images/p0001/1.png","../bp_images/p0001/8.png"
"BP1","../bp_images/p0001/2.png","../bp_images/p0001/8.png"
"BP1","../bp_images/p0001/3.png","../bp_images/p0001/8.png"
"BP1","../bp_images/p0001/4.png","../bp_images/p0001/8.png"
"BP1","../bp_images/p0001/5.png","../bp_images/p0001/8.png"
"BP1","../bp_images/p0001/0.png","../bp_images/p0001/9.png"
"BP1","../bp_images/p0001/1.png","../bp_images/p0001/9.png"
"BP1","../bp_images/p0001/2.png","../bp_images/p0001/9.png"
"BP1","../bp_images/p0001/3.png","../bp_images/p0001/9.png"
"BP1","../bp_images/p0001/4.png","../bp_images/p0001/9.png"
"BP1","../bp_images/p0001/5.png","../bp_images/p0001/9.png"
"BP1","../bp_images/p0001/0.png","../bp_images/p0001/10.png"
"BP1","../bp_images/p0001/1.png","../bp_images/p0001/10.png"
"BP1","../bp_images/p0001/2.png","../bp_images/p0001/10.png"
"BP1","../bp_images/p0001/3.png","../bp_images/p0001/10.png"
"BP1","../bp_images/p0001/4.png","../bp_images/p0001/10.png"
"BP1","../bp_images/p0001/5.png","../bp_images/p0001/10.png"
"BP1","../bp_images/p0001/0.png","../bp_images/p0001/11.png"
"BP1","../bp_images/p0001/1.png","../bp_images/p0001/11.png"
"BP1","../bp_images/p0001/2.png","../bp_images/p0001/11.png"
"BP1","../bp_images/p0001/3.png","../bp_images/p0001/11.png"
"BP1","../bp_images/p0001/4.png","../bp_images/p0001/11.png"
"BP1","../bp_images/p0001/5.png","../bp_images/p0001/11.png"
"BP2","../bp_images/p0002/0.png","../bp_images/p0002/6.png"
"BP2","../bp_images/p0002/1.png","../bp_images/p0002/6.png"
"BP2","../bp_images/p0002/2.png","../bp_images/p0002/6.png"
"BP2","../bp_images/p0002/3.png","../bp_images/p0002/6.png"
"BP2","../bp_images/p0002/4.png","../bp_images/p0002/6.png"
"BP2","../bp_images/p0002/5.png","../bp_images/p0002/6.png"
"BP2","../bp_images/p0002/0.png","../bp_images/p0002/7.png"
"BP2","../bp_images/p0002/1.png","../bp_images/p0002/7.png"
"BP2","../bp_images/p0002/2.png","../bp_images/p0002/7.png"
"BP2","../bp_images/p0002/3.png","../bp_images/p0002/7.png"
"BP2","../bp_images/p0002/4.png","../bp_images/p0002/7.png"
"BP2","../bp_images/p0002/5.png","../bp_images/p0002/7.png"
"BP2","../bp_images/p0002/0.png","../bp_images/p0002/8.png"
"BP2","../bp_images/p0002/1.png","../bp_images/p0002/8.png"
"BP2","../bp_images/p0002/2.png","../bp_images/p0002/8.png"
"BP2","../bp_images/p0002/3.png","../bp_images/p0002/8.png"
"BP2","../bp_images/p0002/4.png","../bp_images/p0002/8.png"
"BP2","../bp_images/p0002/5.png","../bp_images/p0002/8.png"
"BP2","../bp_images/p0002/0.png","../bp_images/p0002/9.png"
"BP2","../bp_images/p0002/1.png","../bp_images/p0002/9.png"
"BP2","../bp_images/p0002/2.png","../bp_images/p0002/9.png"
