"sentence","bp_number"
"LEFT(GREATERLA(FIGURES,CONVEXITY))",4
"RIGHT(LESSERLA(FIGURES,CONVEXITY))",4
"LEFT(LESSERLA(FIGURES,CONCAVITY))",4
"RIGHT(GREATERLA(FIGURES,CONCAVITY))",4

"LEFT(EXISTS(HIGH(GET(FIGURES,ANGLES))))",17
"RIGHT(CEASES(HIGH(GET(FIGURES,ANGLES))))",17
"LEFT(CEASES(LOW(GET(FIGURES,ANGLES))))",17
"RIGHT(EXISTS(LOW(GET(FIGURES,ANGLES))))",17

"LEFT(EXISTS(LOW(AREA(GET(FIGURES,MIDDLE)))))",18
"RIGHT(CEASES(LOW(AREA(GET(FIGURES,MIDDLE)))))",18
"LEFT(CEASES(REGULAR(AREA(GET(FIGURES,MIDDLE)))))",18
"RIGHT(EXISTS(REGULAR(AREA(GET(FIGURES,MIDDLE)))))",18
