"sentence","bp_number"
"LEFT(EXISTS(BIG(FIGURES)))",2
"RIGHT(CEASES(BIG(FIGURES)))",2
"RIGHT(EXISTS(SMALL(FIGURES)))",2
"LEFT(CEASES(SMALL(FIGURES)))",2
"RIGHT(EXISTS(SOLID(FIGURES)))",3
"LEFT(CEASES(SOLID(FIGURES)))",3
"LEFT(EXISTS(OUTLINE(FIGURES)))",3
"RIGHT(CEASES(OUTLINE(FIGURES)))",3
"LEFT(GREATERLA(FIGURES,CONVEXITY))",4
"RIGHT(LESSERLA(FIGURES,CONVEXITY))",4
"LEFT(GREATERLA(FIGURES,NCORNERS))",5
"RIGHT(LESSERLA(FIGURES,NCORNERS))",5
"RIGHT(GREATERLA(FIGURES,CURVATURE))",5
"LEFT(LESSERLA(FIGURES,CURVATURE))",5
"LEFT(EXACTLY(1,TRIANGLES))",6
"LEFT(EXISTS(TRIANGLES))",6
"RIGHT(EXACTLY(1,QUADRILATERALS))",6
"RIGHT(EXISTS(QUADRILATERALS))",6
"LEFT(GREATERLA(FIGURES,ORIENTATION))",7
"RIGHT(LESSERLA(FIGURES,ORIENTATION))",7
"LEFT(EXISTS(HIGH(FIGURES,ORIENTATION)))",7
"RIGHT(EXISTS(LOW(FIGURES,ORIENTATION)))",7
"LEFT(GREATERLA(FIGURES,XPOS))",8
"RIGHT(LESSERLA(FIGURES,XPOS))",8
"RIGHT(EXISTS(LOW(FIGURES,XPOS)))",8
"LEFT(EXISTS(HIGH(FIGURES,XPOS)))",8
"LEFT(GREATERLA(FIGURES,COMPACTNESS))",9
"LEFT(GREATERLA(FIGURES,CURVATURE))",9
"RIGHT(LESSERLA(FIGURES,COMPACTNESS))",9
"RIGHT(LESSERLA(FIGURES,CURVATURE))",9
"LEFT(EXACTLY(1,TRIANGLES))",10
"LEFT(EXISTS(TRIANGLES))",10
"RIGHT(EXACTLY(1,QUADRILATERALS))",10
"RIGHT(EXISTS(QUADRILATERALS))",10
"RIGHT(GREATERLA(FIGURES,COMPACTNESS))",11
"LEFT(GREATERLA(FIGURES,ELONGATION))",11
"LEFT(LESSERLA(FIGURES,COMPACTNESS))",11
"RIGHT(LESSERLA(FIGURES,ELONGATION))",11
"RIGHT(GREATERLA(GET(FIGURES,HULLS),COMPACTNESS))",12
"LEFT(GREATERLA(GET(FIGURES,HULLS),ELONGATION))",12
"LEFT(LESSERLA(GET(FIGURES,HULLS),COMPACTNESS))",12
"RIGHT(LESSERLA(GET(FIGURES,HULLS),ELONGATION))",12
"LEFT(UNION(EXISTS(HIGH(AREA(GET(QUADRILATERALS,HORIZONTAL)))),(EXISTS(HIGH(AREA(GET(CIRCLES,VERTICAL)))))))",13
"RIGHT(UNION(CEASES(HIGH(AREA(GET(QUADRILATERALS,VERTICAL)))),(CEASES(HIGH(AREA(GET(CIRCLES,HORIZONTAL)))))))",13
"RIGHT(UNION(EXISTS(HIGH(AREA(GET(CIRCLES,VERTICAL)))),(EXISTS(HIGH(AREA(GET(QUADRILATERALS,HORIZONTAL)))))))",13
"LEFT(UNION(CEASES(HIGH(AREA(GET(CIRCLES,VERTICAL)))),(CEASES(HIGH(AREA(GET(QUADRILATERALS,HORIZONTAL)))))))",13
"LEFT(EXISTS(BIG(FIGURES)))",14
"RIGHT(CEASES(BIG(FIGURES)))",14
"RIGHT(EXISTS(SMALL(FIGURES)))",14
"LEFT(CEASES(SMALL(FIGURES)))",14
"LEFT(EXISTS(FIGURES))",15
"RIGHT(CEASES(FIGURES))",15
"RIGHT(EXISTS(LINES))",15
"LEFT(CEASES(LINES))",15
"LEFT(EXISTS(MOVING(LINES,CLOCKWISE)))",16
"RIGHT(EXISTS(MOVING(LINES,COUNTERCLOCKWISE)))",16
"LEFT(CEASES(MOVING(LINES,COUNTERCLOCKWISE)))",16
"RIGHT(CEASES(MOVING(LINES,CLOCKWISE)))",16
"LEFT(EXISTS(HIGH(GET(FIGURES,ANGLES))))",17
"RIGHT(CEASES(HIGH(GET(FIGURES,ANGLES))))",17
"LEFT(EXISTS(LOW(AREA(GET(FIGURES,MIDDLE)))))",18
"RIGHT(CEASES(LOW(AREA(GET(FIGURES,MIDDLE)))))",18
