"sentence","bp_number"
"\LEFT(\GREATERLA(\FIGURES,\SIZE))",2
"\LEFT(\EXISTS(\BIG(\FIGURES)))",2
"\RIGHT(\EXISTS(\SMALL(\FIGURES)))",2
"\RIGHT(\GREATERLA(\FIGURES,\COLOR))",3
"\RIGHT(\EXISTS(\SOLID(\FIGURES)))",3
"\LEFT(\EXISTS(\OUTLINE(\FIGURES)))",3
"\LEFT(\EXACTLY(1,\GET(\FIGURES,\HOLES)))",3
"\LEFT(\GREATERLA(\FIGURES,\CONVEXITY))",4
"\RIGHT(\GREATERLA(\FIGURES,\NCORNERS))",6
"\LEFT(\EXACTLY(1,\TRIANGLES))",6
"\LEFT(\EXISTS(\TRIANGLES))",6
"\LEFT(\GREATERLA(\FIGURES,\ORIENTATION))",7
"\LEFT(\EXISTS(\HIGH(\FIGURES,\ORIENTATION)))",7
"\RIGHT(\EXISTS(\LOW(\FIGURES,\ORIENTATION)))",7
"\LEFT(\GREATERLA(\FIGURES,\XPOS))",8
"\RIGHT(\EXISTS(\LOW(\FIGURES,\XPOS)))",8
"\LEFT(\GREATERLA(\FIGURES,\COMPACTNESS))",9
"\LEFT(\GREATERLA(\OUTLINE(\FIGURES),\COMPACTNESS))",9
"\RIGHT(\GREATERLA(\FIGURES,\COMPACTNESS))",11
"\RIGHT(\GREATERLA(\OUTLINE(\FIGURES),\COMPACTNESS))",11
"\RIGHT(\GREATERLA(\GET(\FIGURES,\HULLS),\COMPACTNESS))",12
"\LEFT(\EXISTS(\SMALL(\FIGURES)))",21
"\LEFT(\EXISTS(\SMALL(\FIGURES)))",21
"\RIGHT(\EQUALNUM(\BIG(\FIGURES)))",21
"\LEFT(\MORESIMLA(\FIGURES,\SIZE))",22
"\LEFT(\EXACTLY(1,\FIGURES))",23
"\RIGHT(\EXACTLY(2,\FIGURES))",23
"\LEFT(\EXISTS(\CIRCLES))",24
"\RIGHT(\EXISTS(\SOLID(\CIRCLES)))",25
"\LEFT(\EXISTS(\SOLID(\TRIANGLES)))",25
"\LEFT(\EXISTS(\SOLID(\TRIANGLES)))",26
"\RIGHT(\EQUALNUM(\OUTLINE(\TRIANGLES),\TRIANGLES))",26
"\RIGHT(\MORE(\OUTLINE(\FIGURES),\CIRCLES))",27
"\LEFT(\MORE(\SOLID(\CIRCLES),\OUTLINE(\CIRCLES)))",28
"\RIGHT(\MORE(\OUTLINE(\CIRCLES),\SOLID(\CIRCLES)))",28
"\RIGHT(\MORE(\SETMINUS(\FIGURES,\INSIDE(\FIGURES)),\INSIDE(\FIGURES)))",29
"\LEFT(\EXISTS(\BIG(\GET(\FIGURES,\HOLES))))",34
"\LEFT(\EXISTS(\HIGH(\GET(\FIGURES,\HOLES),\SIZE)))",34
"\RIGHT(\EXISTS(\SMALL(\GET(\FIGURES,\HOLES))))",34
"\LEFT(\GREATERLLA(\FIGURES,\GET(\FIGURES,\HOLES),\ORIENTATION))",35
"\LEFT(\GREATERLLA(\GET(\FIGURES,\HOLES),\FIGURES,\ORIENTATION))",35
"\RIGHT(\GREATERLLA(\TRIANGLES,\CIRCLES,\YPOS))",36
"\LEFT(\GREATERLLA(\CIRCLES,\TRIANGLES,\YPOS))",36
"\RIGHT(\GREATERLLA(\TRIANGLES,\CIRCLES,\YPOS))",37
"\LEFT(\GREATERLLA(\CIRCLES,\TRIANGLES,\YPOS))",37
"\LEFT(\GREATERLLA(\TRIANGLES,\CIRCLES,\SIZE))",38
"\RIGHT(\GREATERLLA(\CIRCLES,\TRIANGLES,\SIZE))",38
"\LEFT(\MORESIMLA(\FIGURES,\ORIENTATION))",39
"\LEFT(\MORESIMLA(\GET(\FIGURES,\HULLS),\ORIENTATION))",39
"\LEFT(\EXISTS(\ALIGNED(\FIGURES)))",40
"\LEFT(\EXISTS(\ALIGNED(\CIRCLES)))",40
"\LEFT(\EXISTS(\ALIGNED(\OUTLINE(\FIGURES))))",41
"\LEFT(\EXISTS(\ALIGNED(\OUTLINE(\CIRCLES))))",41
"\LEFT(\EXISTS(\ALIGNED(\INSIDE(\FIGURES))))",42
"\RIGHT(\EXISTS(\CONTAINS(\CIRCLES)))",47
"\RIGHT(\EXISTS(\INSIDE(\TRIANGLES)))",47
"\LEFT(\EXISTS(\INSIDE(\CIRCLES)))",47
"\LEFT(\EXISTS(\CONTAINS(\TRIANGLES)))",47
"\LEFT(\GREATERLA(\SMALL(\GET(\FIGURES,\HOLES)),\YPOS))",48
"\LEFT(\GREATERLA(\GET(\SMALL(\FIGURES),\HOLES),\YPOS))",48
"\RIGHT(\MORESIMLA(\FIGURES,\DISTANCE))",49
"\LEFT(\EXISTS(\LOW(\FIGURES,\DISTANCE)))",51
"\LEFT(\EXISTS(\LOW(\CIRCLES,\DISTANCE)))",51
"\RIGHT(\EXACTLY(4,\HIGH(\FIGURES,\DISTANCE)))",51
"\RIGHT(\EXACTLY(4,\HIGH(\CIRCLES,\DISTANCE)))",51
"\LEFT(\GREATERLLA(\BIG(\FIGURES),\INSIDE(\FIGURES),\NCORNERS))",53
"\LEFT(\GREATERLLA(\CONTAINS(\FIGURES),\SMALL(\FIGURES),\NCORNERS))",53
"\LEFT(\MORESIMLA(\FIGURES,\COLOR))",56
"\LEFT(\MORESIMLA(\SOLID(\RECTANGLES),\SIZE))",58
"\LEFT(\MORESIMLA(\SOLID(\FIGURES),\SIZE))",58
"\LEFT(\MORESIMLA(\TRIANGLES,\YPOS))",65
"\RIGHT(\MORESIMLA(\TRIANGLES,\XPOS))",65
"\RIGHT(\MORESIMLA(\CIRCLES,\XPOS))",66
"\RIGHT(\MORESIMLA(\FIGURES,\XPOS))",66
"\LEFT(\MORESIMLA(\FIGURES,\YPOS))",66
"\LEFT(\MORESIMLA(\CIRCLES,\YPOS))",66
"\LEFT(\EXISTS(\INSIDE(\INSIDE(\FIGURES))))",71
